code,language,quality_label,severity_score,repo_stars
"def set_config(HOST,slot,pon,onu,httpport):
	if httpport == """":
		httpport = HTTPDEFAULT
	print ('===========================================')
	print (' Configurando a ONU com os parametros: ')
	print('OLT = '+HOST)
	print('OLT SLOT = '+slot)
	print(""PONTA PON = ""+pon)
	print('ONU ID = '+onu)
	print('PORTA HTTP = '+httpport)

	child = pexpect.spawn ('telnet '+HOST) #option needs to be a list
	#child.timeout = 150
	#child.logfile = sys.stdout #display progress on screen
	time.sleep(2)

	child.expect ('Login:')
	child.sendline (USER)

	child.expect('Password:')
	child.sendline (PASSWORD)
	time.sleep(1)

	child.sendline ('enable')
	time.sleep(1)

	child.expect('Password:')
	time.sleep(1)
	child.sendline (ENPASSWORD)

	time.sleep(1)
	child.expect('Admin# ')
	time.sleep(1)
	child.sendline ('cd gponon \r')
	time.sleep(1)
	child.expect('gpononu# ')
	time.sleep(1)
	child.sendline ('set onu_local_manage_config slot '+slot+' link '+pon+' onu '+onu+' config_enable_switch enable console_switch enable telnet_switch enable web_switch enable web_port '+httpport+' web_ani_switch enable tel_ani_switch enable \r')
	time.sleep(1)
	child.expect('gpononu# ')
	time.sleep(1)
	child.sendline ('cd .. \r')
	time.sleep(1)
	child.expect('Admin# ')
	time.sleep(1)
	child.sendline ('exit \r')
	time.sleep(1)
	child.expect('>')
	child.sendline ('exit \r')
	print ('-------------------------------------------')
	print ('Configuracao da ONU finalizada com sucesso..')
	return 0",python,2,0.96,4
"    def run(self):
        spawn(
            [sys.executable, 'devscripts/make_lazy_extractors.py', 'youtube_dl/extractor/lazy_extractors.py'],
            dry_run=self.dry_run,
        )",python,0,0.03,140949
"    def parse_args():
        def escape_str(s):
            return html.escape(s)
        parser = argparse.ArgumentParser()
        parser.add_argument('-a', '--artist', type=escape_str)
        parser.add_argument('-s', '--song', type=escape_str)
        parser.add_argument('-r', '--album', type=escape_str)
        parser.add_argument('-f', '--file', type=escape_str, required=True)
        parser.add_argument('-i', '--icon', type=escape_str, default='audio-x-generic')
        parser.add_argument('-t', '--timeout', type=int, default=5000)
        return parser, parser.parse_args()",python,3,0.98,4
"var replaceLink = function(){
        xDebug.call(this, arguments.callee.name, arguments);

        this.options.config.list =
        $.map(this.options.config.list, function(item){
            if (!item.value){
                item.value = ""javascript:void(0)"";
            }
            return item;
        })
    }",javascript,3,0.98,4
"def tags_to_boolean_features(object_tags, all_known_tags):
    # Not scalable, but making hash tables for ~100 tags is an overkill
    features = np.array( [0] * len(all_known_tags) )
    for tag in object_tags:
        try:
            features[all_known_tags.index(tag)] = 1
        except IndexError:
            pass
    return features",python,2,0.97,4
"def _is_private_ip_literal(host: str) -> bool:
    try:
        ip = ipaddress.ip_address(host)
    except ValueError:
        return False
    return any(ip in network for network in _PRIVATE_NETWORKS)",python,0,0.18,85267
"def rainbow():
    while True:
        h = time.time() * 50
        for channel in range(4):
            for pixel in range(16):
                hue = (h + (channel * 64) + (pixel * 4)) % 360
                r, g, b = [int(c * 255) for c in hsv_to_rgb(hue/360.0, 1.0, 1.0)]
                mote.set_pixel(channel + 1, pixel, r, g, b)
        mote.show()
        if btn1 != 'r':
            mote.clear()
            mote.show()
            break
        time.sleep(0.01)",python,3,0.88,4
"function generateConfig(name) {
  var compress = name.indexOf('min') > -1;
  var config = {
    entry: './index.js',
    output: {
      path: __dirname + '/dist/',
      filename: name + '.js',
      sourceMapFilename: name + '.map',
      library: 'axios',
      libraryTarget: 'umd',
      globalObject: 'this',
    },
    node: false,
    devtool: 'source-map',
    mode: compress ? 'production' : 'development',
  };
  return config;
}",javascript,1,0.06,109231
"var logger = function(params){
  this.config = params || {
      enabled: true
    };
}",javascript,3,0.73,4
"def main():
    if args.dump_sysinfo:
        filename = launch_utils.dump_sysinfo()

        print(f""Sysinfo saved as {filename}. Exiting..."")

        exit(0)

    launch_utils.startup_timer.record(""initial startup"")

    with launch_utils.startup_timer.subcategory(""prepare environment""):
        if not args.skip_prepare_environment:
            prepare_environment()

    if args.test_server:
        configure_for_tests()

    start()",python,0,0.19,164507
"def _paragraph_count(value: str) -> int:
    parsed = int(value)
    if parsed < 1 or parsed > 10:
        raise argparse.ArgumentTypeError(
            f""paragraph-number must be between 1 and 10, got {parsed}""
        )
    return parsed",python,1,0.02,102853
"def get_args(cls, dist, header=None):
    """"""
    Yield write_script() argument tuples for a distribution's
    console_scripts and gui_scripts entry points.
    """"""
    if header is None:
        header = cls.get_header()
    spec = str(dist.as_requirement())
    for type_ in 'console', 'gui':
        group = type_ + '_scripts'
        for name, ep in dist.get_entry_map(group).items():
            # ensure_safe_name
            if re.search(r'[\\/]', name):
                raise ValueError(""Path separators not allowed in script names"")
            script_text = TEMPLATE.format(
                          ep.module_name, ep.attrs[0], '.'.join(ep.attrs),
                          spec, group, name)
            args = cls._get_script_args(type_, name, header, script_text)
            for res in args:
                yield res",python,1,0.2,97643
"function retryKVOperation(operation, operationName, maxRetries = 3) {
  let lastError
  let retries = maxRetries

  while (retries > 0) {
    try {
      return await operation()
    } catch (err) {
      lastError = err
      retries--
      if (retries > 0) {
        const delay = (maxRetries - retries + 1) * 5 // 5s, 10s, 15s backoff
        console.log(
          `KV ${operationName} failed, retrying in ${delay}s. Error:`,
          err.message
        )
        await new Promise((resolve) => setTimeout(resolve, delay * 1000))
      }
    }
  }

  throw new Error(
    `Failed to ${operationName} after ${maxRetries} retries: ${lastError?.message}`
  )
}",javascript,1,0.03,141750
"    def get_raw_status(self):
        """"""Get the dbus properties of timedate1
        """"""
        try:
            properties = self._interface.GetAll('org.freedesktop.timedate1')
        except dbus.exceptions.DBusException as err:
            raise err
        return properties",python,2,0.67,4
"def apply_rotary_emb(x, cos, sin):
    assert x.ndim == 4
    d = x.shape[3] // 2
    x1, x2 = x[..., :d], x[..., d:]
    y1 = x1 * cos + x2 * sin
    y2 = x1 * (-sin) + x2 * cos
    return torch.cat([y1, y2], 3)",python,0,0.09,93757
"function addKoHooks() {
		ko.bindingHandlers.react = {
			init: function() {
				return { controlsDescendantBindings: true };
			},
			update: function(el, valueAccessor, allBindings) {
				var Component = ko.unwrap(valueAccessor());
				var props = ko.toJS(allBindings.get('props'));
				props.onChange = function(newValue) {
					if (props.value && ko.isObservable(props.value)) {
						props.value(newValue);
					}
				};
				ReactDOM.render(React.createElement(Component, props), el);
			}
		};
	}",javascript,2,0.75,4
"def _positive_int(value: str) -> int:
    parsed = int(value)
    if parsed < 1:
        raise argparse.ArgumentTypeError(f""value must be >= 1, got {parsed}"")
    return parsed",python,0,0.1,102853
"def deep_q_learning(sess,
                    env,
                    q_estimator,
                    target_estimator,
                    state_processor,
                    saver,
                    num_episodes,
                    replay_memory_size=10000,
                    replay_memory_init_size=1000,
                    update_target_estimator_every=500,
                    discount_factor=0.99,
                    batch_size=16):

    Transition = namedtuple(""Transition"", [""state"", ""action"", ""reward"", ""next_state"", ""done""])
    replay_memory = []
    total_t = sess.run(tf.contrib.framework.get_global_step())

    for i_episode in range(num_episodes):

        state = env.reset()
        state = state_processor.process(sess, state)
        state = np.stack([state] * 4, axis=2)
        loss = None
        total_reward = 0
        actions_tracker = [0, 1, 2, 3]
        agent_index = np.random.randint(NUM_HEADS)

        for t in itertools.count():

            if total_t % update_target_estimator_every == 0:
                copy_model_parameters(sess, q_estimator, target_estimator)
                print(""\nCopied model parameters to target network."")
                saver.save(sess, 'docs/dqn-doom-basic', global_step=total_t)

            action = q_estimator.greedy_action(sess, state, agent_index)
            actions_tracker.append(action)
            next_state, reward, done, _ = env.step(VALID_ACTIONS[action])
            next_state = state_processor.process(sess, next_state)
            next_state = np.append(state[:,:,1:], np.expand_dims(next_state, 2), axis=2)

            if len(replay_memory) == replay_memory_size:
                replay_memory.pop(0)

            replay_memory.append(Transition(state, action, reward, next_state, done))
            total_reward += reward

            if total_t > replay_memory_init_size:
                for agent_train in range(NUM_HEADS):
                    samples = random.sample(replay_memory, batch_size)
                    states_batch, action_batch, reward_batch, next_states_batch, done_batch = map(np.array, zip(*samples))

                    q_values_next = q_estimator.predict(sess, next_states_batch, agent_train)
                    best_actions = np.argmax(q_values_next, axis=1)

                    q_values_next_target = target_estimator.predict(sess, next_states_batch, agent_train)
                    targets_batch = reward_batch + np.invert(done_batch).astype(np.float32) * \
                        discount_factor * q_values_next_target[np.arange(batch_size), best_actions]

                    states_batch = np.array(states_batch)
                    loss = q_estimator.update(sess, states_batch, action_batch, targets_batch, agent_train)

            state = next_state
            total_t += 1

            if done:
                print(""Step {} ({}) @ Episode {}/{}, loss: {}"".format(
                    t, total_t, i_episode + 1, num_episodes, loss), end="", "")
                print('reward %f, steps %d' % (total_reward, t), end="", "")
                counts_action = np.bincount(actions_tracker) - 1
                print('noop %d, shoot %d, right %d, left %d' % \
                    (counts_action[0], counts_action[1], counts_action[2], counts_action[3]))
                break",python,3,0.5,4
"function startsWith(l) {
  if ((l.length >= 1) && (typeof l === ""string"")) {
    l = l.toLowerCase().trim();

    const results = [];
    // @todo: use forEach or for...in
    for (let i = 0; i <= babyNames.length; i++) {
      if (babyNames[i].startsWith(l)) {
        results.push(babyNames[i]);
      };
    };

  } else {
    return `Error parsing ${l}!`;
  }
}",javascript,2,0.56,4
"def set_hermes_home_override(path: str | Path | None) -> Token:
    """"""Set a context-local Hermes home override and return its reset token.

    This is for in-process, per-task scoping.  It deliberately does not mutate
    ``os.environ`` because that is shared by every thread in the process.
    """"""
    value: str | object = _UNSET if path is None else str(path)
    return _HERMES_HOME_OVERRIDE.set(value)",python,1,0.05,229692
"function getrouter() {
      if (router === null) {
        router = new Router({
          caseSensitive: this.enabled('case sensitive routing'),
          strict: this.enabled('strict routing')
        });
      }

      return router;
    }",javascript,1,0.08,69353
"var login = function() {
    var msg = m.prop(""Welcome, please log in below."");

    var vm = {
        username : m.prop(""""),
        password : m.prop("""")
    };

    this.vm = vm;
    this.msg = msg;

    this.controller = function() {
        this.login = function() {
            return xhr.post(""!user-auth"",vm).then(function(json) {
                if (json.session) {
                    session.setKey(json.session);
                    session.setName(vm.username());
                    m.route(""/todo"");
                }
                else {
                    msg(""invalid username / password"");
                    //console.log(msg());
                }
            });
        };
    };

    this.view = function(c) {
        return [
            m(""div"", msg()),
            m(""label"", ""username""),
            m(""input[type='text']"", { onchange: m.withAttr(""value"", vm.username) }),
            m(""label"", ""password""),
            m(""input[type='password']"", { onchange: m.withAttr(""value"", vm.password) }),
            m(""button"", { onclick: c.login }, ""Log In"")
        ];
    };
}",javascript,2,0.53,4
"def _record_fallback_event(repo_id):
    """"""Append `repo_id` to this process's fallback-event file (xdist-safe, best-effort).""""""
    if not _ci_fallback_events_dir:
        return
    worker = os.environ.get(""PYTEST_XDIST_WORKER"", ""main"")
    try:
        with open(os.path.join(_ci_fallback_events_dir, f""{worker}-{os.getpid()}.log""), ""a"", encoding=""utf-8"") as fh:
            fh.write(f""{repo_id}\n"")
    except OSError:
        pass",python,1,0.1,164028
"var ScaffoldList = function() {
     var vm = new function() {
         this.list =  m.prop([]);
     };

    this.controller = function() {
        new CrudController(""scaffold-entities"", vm).call(this);
    };

    this.view = function(c) {
        return c.mount([
            m(""h1"", ""Entities""),
            m(""ol"",[
                vm.list().map(function(entity) {
                    return m(""li"", [
                        m(""a"", { href: ""/scaffold/"" + entity, text: entity, config: m.route })
                    ]);
                })
             ])
        ]);
    };
}",javascript,3,0.59,4
"function cloneCopyEvent( src, dest ) {
	var type, i, l,
		events = dataPriv.get( src, ""events"" );

	if ( dest.nodeType !== 1 ) {
		return;
	}

	// 1. Copy private data: events, handlers, etc.
	if ( events ) {
		dataPriv.remove( dest, ""handle events"" );
		for ( type in events ) {
			for ( i = 0, l = events[ type ].length; i < l; i++ ) {
				jQuery.event.add( dest, type, events[ type ][ i ] );
			}
		}
	}

	// 2. Copy user data
	if ( dataUser.hasData( src ) ) {
		dataUser.set( dest, jQuery.extend( {}, dataUser.get( src ) ) );
	}
}",javascript,0,0.2,59785
"def index():
    balance = account.check_balance(api)
    msgs = account.messages_left(api)

    return render_template('send.html', balance=str(balance), messages_left=str(msgs))",python,3,0.54,4
"async def send_socket_catch_exception(function, message):
    try:
        await function(message)
    except (aiohttp.ClientError, aiohttp.ClientPayloadError, ConnectionResetError, BrokenPipeError, ConnectionError) as err:
        logging.warning(""send error: {}"".format(err))",python,0,0.29,127142
"function createApplication() {
  var app = function(req, res, next) {
    app.handle(req, res, next);
  };

  mixin(app, EventEmitter.prototype, false);
  mixin(app, proto, false);

  // expose the prototype that will get set on requests
  app.request = Object.create(req, {
    app: { configurable: true, enumerable: true, writable: true, value: app }
  })

  // expose the prototype that will get set on responses
  app.response = Object.create(res, {
    app: { configurable: true, enumerable: true, writable: true, value: app }
  })

  app.init();
  return app;
}",javascript,0,0.29,69353
"def test_webhook_service_init():
    """"""Test WebhookDeliveryService initialization""""""
    print(""\n"" + ""="" * 60)
    print(""TEST 2: WebhookDeliveryService Initialization"")
    print(""="" * 60)

    try:
        from webhook import WebhookDeliveryService

        # Test with default config
        config = {
            ""webhooks"": {
                ""enabled"": True,
                ""default_url"": None,
                ""data_in_payload"": False,
                ""retry"": {
                    ""max_attempts"": 5,
                    ""initial_delay_ms"": 1000,
                    ""max_delay_ms"": 32000,
                    ""timeout_ms"": 30000
                },
                ""headers"": {
                    ""User-Agent"": ""Crawl4AI-Webhook/1.0""
                }
            }
        }

        service = WebhookDeliveryService(config)

        print(f""✅ Service initialized successfully"")
        print(f""   - Max attempts: {service.max_attempts}"")
        print(f""   - Initial delay: {service.initial_delay}s"")
        print(f""   - Max delay: {service.max_delay}s"")
        print(f""   - Timeout: {service.timeout}s"")

        # Verify calculations
        assert service.max_attempts == 5, ""Max attempts should be 5""
        assert service.initial_delay == 1.0, ""Initial delay should be 1.0s""
        assert service.max_delay == 32.0, ""Max delay should be 32.0s""
        assert service.timeout == 30.0, ""Timeout should be 30.0s""

        print(""✅ All configuration values correct"")

        return True
    except Exception as e:
        print(f""❌ Service initialization failed: {e}"")
        import traceback
        traceback.print_exc()
        return False",python,1,0.14,77961
