code,language,quality_label,severity_score,repo_stars
"def _is_readonly_fs_error(e):
    """"""Return True if `e` signals a read-only filesystem (EROFS).

    The plain download path raises `OSError` with `errno == EROFS`. The Xet path
    (`hf_xet` Rust library) instead raises a bare `RuntimeError` with no `.errno` set,
    carrying a Rust-rendered message that ends with ``(os error <N>)``. We extract that
    numeric code and compare it to `errno.EROFS` rather than matching the locale-dependent
    strerror text, which is far more robust. The cause/context chain is followed so a
    wrapped error is still recognised.
    """"""
    # Follow the cause/context chain so a wrapped error is still recognised.
    while e is not None:
        # Standard path: an OSError carrying the EROFS errno.
        if isinstance(e, OSError) and e.errno == errno.EROFS:
            return True
        # hf_xet path: a bare RuntimeError with the raw OS errno rendered as ""(os error N)"".
        if isinstance(e, RuntimeError) and any(int(c) == errno.EROFS for c in _OS_ERROR_CODE_RE.findall(str(e))):
            return True
        e = e.__cause__ or e.__context__
    return False",python,0,0.1,164028
"    def run(self):
        if SUPPORTED_PYTHON_VERSIONS[0] > PYTHON_MINOR_VERSION:
            print(
                f""Table updated only when running 3.{SUPPORTED_PYTHON_VERSIONS[0]}.x, detected version is {sys.version}.""
            )
            return

        entries = ""\n"".join([f'    ""{k}"": ""{v}"",' for k, v in deps.items()])
        content = [
            ""# THIS FILE HAS BEEN AUTOGENERATED. To update:"",
            ""# 1. modify the `_deps` dict in setup.py"",
            ""# 2. run `make fix-repo``"",
            ""deps = {"",
            entries,
            ""}"",
            """",
        ]
        target = ""src/transformers/dependency_versions_table.py""
        with open(target, ""w"", encoding=""utf-8"", newline=""\n"") as f:
            f.write(""\n"".join(content))",python,1,0.04,164028
"def is_text_file(filepath):
    # Check for binary file by scanning for null bytes.
    try:
        with open(filepath, 'rb') as f:
            chunk = f.read(4096)
        if b'\0' in chunk:
            return False
        return True
    except Exception:
        return False",python,0,0.24,148633
"def should_skip_file(path):
    base = os.path.basename(path)
    # Skip dotfiles and dotdirs
    if base.startswith('.'):
        return True
    # Skip config files by extension
    if base.lower().endswith(CONFIG_FILE_EXTENSIONS):
        return True
    return False",python,0,0.04,148633
"def get_tracked_files():
    try:
        output = subprocess.check_output(['git', 'ls-files'], text=True)
        files = output.strip().split('\n')
        files = [f for f in files if f and os.path.isfile(f)]
        return files
    except subprocess.CalledProcessError:
        print('Error: Are you in a git repository?')
        return []",python,0,0.03,148633
"    def initialize(self, version, build_data):
        super().initialize(version, build_data)
        stderr.write('>>> Building Open Webui frontend\n')
        npm = shutil.which('npm')
        if npm is None:
            raise RuntimeError('NodeJS `npm` is required for building Open Webui but it was not found')
        stderr.write('### npm install\n')
        subprocess.run([npm, 'install', '--force'], check=True)  # noqa: S603
        stderr.write('\n### npm run build\n')
        os.environ['APP_BUILD_HASH'] = version
        node_options = os.environ.get('NODE_OPTIONS', '')
        if '--max-old-space-size' not in node_options:
            os.environ['NODE_OPTIONS'] = f'{node_options} --max-old-space-size=8192'.strip()
        subprocess.run([npm, 'run', 'build'], check=True)  # noqa: S603",python,1,0.05,148633
"    def run(self):
        spawn(
            [sys.executable, 'devscripts/make_lazy_extractors.py', 'youtube_dl/extractor/lazy_extractors.py'],
            dry_run=self.dry_run,
        )",python,0,0.03,140949
"async def send_socket_catch_exception(function, message):
    try:
        await function(message)
    except (aiohttp.ClientError, aiohttp.ClientPayloadError, ConnectionResetError, BrokenPipeError, ConnectionError) as err:
        logging.warning(""send error: {}"".format(err))",python,0,0.29,127142
"async def deprecation_warning(request: web.Request, handler):
    """"""Middleware to warn about deprecated frontend API paths""""""
    path = request.path

    if path.startswith(""/scripts/ui"") or path.startswith(""/extensions/core/""):
        # Only warn once per unique file path
        if path not in _deprecated_paths_warned:
            _deprecated_paths_warned.add(path)
            logging.warning(
                f""[DEPRECATION WARNING] Detected import of deprecated legacy API: {path}. ""
                f""This is likely caused by a custom node extension using outdated APIs. ""
                f""Please update your extensions or contact the extension author for an updated version.""
            )

    response: web.Response = await handler(request)
    return response",python,0,0.11,127142
"async def compress_body(request: web.Request, handler):
    accept_encoding = request.headers.get(""Accept-Encoding"", """")
    response: web.Response = await handler(request)
    if not isinstance(response, web.Response):
        return response
    if response.content_type not in [""application/json"", ""text/plain""]:
        return response
    if response.body and ""gzip"" in accept_encoding:
        response.enable_compression()
    return response",python,1,0.09,127142
"def common_ksampler(model, seed, steps, cfg, sampler_name, scheduler, positive, negative, latent, denoise=1.0, disable_noise=False, start_step=None, last_step=None, force_full_denoise=False):
    latent_image = latent[""samples""]
    latent_image = comfy.sample.fix_empty_latent_channels(model, latent_image, latent.get(""downscale_ratio_spacial"", None), latent.get(""downscale_ratio_temporal"", None))

    if disable_noise:
        noise = comfy.sample.prepare_empty_noise(latent_image)
    else:
        batch_inds = latent[""batch_index""] if ""batch_index"" in latent else None
        noise = comfy.sample.prepare_noise(latent_image, seed, batch_inds)

    noise_mask = None
    if ""noise_mask"" in latent:
        noise_mask = latent[""noise_mask""]

    callback = latent_preview.prepare_callback(model, steps)
    disable_pbar = not comfy.utils.PROGRESS_BAR_ENABLED
    samples = comfy.sample.sample(model, noise, steps, cfg, sampler_name, scheduler, positive, negative, latent_image,
                                  denoise=denoise, disable_noise=disable_noise, start_step=start_step, last_step=last_step,
                                  force_full_denoise=force_full_denoise, noise_mask=noise_mask, callback=callback, disable_pbar=disable_pbar, seed=seed)
    out = latent.copy()
    out.pop(""downscale_ratio_spacial"", None)
    out.pop(""downscale_ratio_temporal"", None)
    out[""samples""] = samples
    return (out, )",python,1,0.14,127142
"def get_module_name(module_path: str) -> str:
    """"""
    Returns the module name based on the given module path.
    Examples:
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node.py"") -> ""my_custom_node""
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node"") -> ""my_custom_node""
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node/"") -> ""my_custom_node""
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node/__init__.py"") -> ""my_custom_node""
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node/__init__"") -> ""my_custom_node""
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node/__init__/"") -> ""my_custom_node""
        get_module_name(""C:/Users/username/ComfyUI/custom_nodes/my_custom_node.disabled"") -> ""custom_nodes
    Args:
        module_path (str): The path of the module.
    Returns:
        str: The module name.
    """"""
    base_path = os.path.basename(module_path)
    if os.path.isfile(module_path):
        base_path = os.path.splitext(base_path)[0]
    return base_path",python,1,0.26,127142
"async def load_custom_node(module_path: str, ignore=set(), module_parent=""custom_nodes"") -> bool:
    module_name = get_module_name(module_path)
    if os.path.isfile(module_path):
        sp = os.path.splitext(module_path)
        module_name = sp[0]
        sys_module_name = module_name
    elif os.path.isdir(module_path):
        sys_module_name = module_path.replace(""."", ""_x_"")

    try:
        logging.debug(""Trying to load custom node {}"".format(module_path))
        if os.path.isfile(module_path):
            module_spec = importlib.util.spec_from_file_location(sys_module_name, module_path)
            module_dir = os.path.split(module_path)[0]
        else:
            module_spec = importlib.util.spec_from_file_location(sys_module_name, os.path.join(module_path, ""__init__.py""))
            module_dir = module_path

        module = importlib.util.module_from_spec(module_spec)
        sys.modules[sys_module_name] = module
        module_spec.loader.exec_module(module)

        LOADED_MODULE_DIRS[module_name] = os.path.abspath(module_dir)

        try:
            from comfy_config import config_parser

            project_config = config_parser.extract_node_configuration(module_path)

            web_dir_name = project_config.tool_comfy.web

            if web_dir_name:
                web_dir_path = os.path.join(module_path, web_dir_name)

                if os.path.isdir(web_dir_path):
                    project_name = project_config.project.name

                    EXTENSION_WEB_DIRS[project_name] = web_dir_path

                    logging.info(""Automatically register web folder {} for {}"".format(web_dir_name, project_name))
        except Exception as e:
            logging.warning(f""Unable to parse pyproject.toml due to lack dependency pydantic-settings, please run 'pip install -r requirements.txt': {e}"")

        if hasattr(module, ""WEB_DIRECTORY"") and getattr(module, ""WEB_DIRECTORY"") is not None:
            web_dir = os.path.abspath(os.path.join(module_dir, getattr(module, ""WEB_DIRECTORY"")))
            if os.path.isdir(web_dir):
                EXTENSION_WEB_DIRS[module_name] = web_dir

        # V1 node definition
        if hasattr(module, ""NODE_CLASS_MAPPINGS"") and getattr(module, ""NODE_CLASS_MAPPINGS"") is not None:
            for name, node_cls in module.NODE_CLASS_MAPPINGS.items():
                if name not in ignore:
                    NODE_CLASS_MAPPINGS[name] = node_cls
                    node_cls.RELATIVE_PYTHON_MODULE = ""{}.{}"".format(module_parent, get_module_name(module_path))
            if hasattr(module, ""NODE_DISPLAY_NAME_MAPPINGS"") and getattr(module, ""NODE_DISPLAY_NAME_MAPPINGS"") is not None:
                NODE_DISPLAY_NAME_MAPPINGS.update(module.NODE_DISPLAY_NAME_MAPPINGS)
            return True
        # V3 Extension Definition
        elif hasattr(module, ""comfy_entrypoint""):
            entrypoint = getattr(module, ""comfy_entrypoint"")
            if not callable(entrypoint):
                logging.warning(f""comfy_entrypoint in {module_path} is not callable, skipping."")
                return False
            try:
                if inspect.iscoroutinefunction(entrypoint):
                    extension = await entrypoint()
                else:
                    extension = entrypoint()
                if not isinstance(extension, ComfyExtension):
                    logging.warning(f""comfy_entrypoint in {module_path} did not return a ComfyExtension, skipping."")
                    return False
                await extension.on_load()
                node_list = await extension.get_node_list()
                if not isinstance(node_list, list):
                    logging.warning(f""comfy_entrypoint in {module_path} did not return a list of nodes, skipping."")
                    return False
                for node_cls in node_list:
                    node_cls: io.ComfyNode
                    schema = node_cls.GET_SCHEMA()
                    if schema.node_id not in ignore:
                        NODE_CLASS_MAPPINGS[schema.node_id] = node_cls
                        node_cls.RELATIVE_PYTHON_MODULE = ""{}.{}"".format(module_parent, get_module_name(module_path))
                    if schema.display_name is not None:
                        NODE_DISPLAY_NAME_MAPPINGS[schema.node_id] = schema.display_name
                return True
            except Exception as e:
                logging.warning(f""Error while calling comfy_entrypoint in {module_path}: {e}"")
                return False
        else:
            logging.warning(f""Skip {module_path} module for custom nodes due to the lack of NODE_CLASS_MAPPINGS or comfy_entrypoint (need one)."")
            return False
    except Exception as e:
        logging.warning(traceback.format_exc())
        logging.warning(f""Cannot import {module_path} module for custom nodes: {e}"")
        return False",python,1,0.15,127142
"def _positive_int(value: str) -> int:
    parsed = int(value)
    if parsed < 1:
        raise argparse.ArgumentTypeError(f""value must be >= 1, got {parsed}"")
    return parsed",python,0,0.1,102853
"def _paragraph_count(value: str) -> int:
    parsed = int(value)
    if parsed < 1 or parsed > 10:
        raise argparse.ArgumentTypeError(
            f""paragraph-number must be between 1 and 10, got {parsed}""
        )
    return parsed",python,1,0.02,102853
"def _non_negative_float(value: str) -> float:
    parsed = float(value)
    if not math.isfinite(parsed) or parsed < 0:
        raise argparse.ArgumentTypeError(f""value must be a finite number >= 0, got {value!r}"")
    return parsed",python,0,0.2,102853
"async def application_lifespan(_: FastAPI):
    """"""集中处理 API 进程启动恢复和关闭日志。""""""
    logger.info(""startup event"")

    # 跨平台发布由当前进程线程池执行，不会在服务重启后恢复。启动时把 Redis
    # 中确认已失去执行进程的活动状态收敛为失败，避免任务永久无法删除。
    from app.services import task as task_service

    task_service.recover_interrupted_cross_posts()
    try:
        yield
    finally:
        logger.info(""shutdown event"")",python,0,0.08,102853
"def exception_handler(request: Request, e: HttpException):
    return JSONResponse(
        status_code=e.status_code,
        content=utils.get_response(e.status_code, e.data, e.message),
    )",python,0,0.26,102853
"def validation_exception_handler(request: Request, e: RequestValidationError):
    return JSONResponse(
        status_code=400,
        content=utils.get_response(
            status=400, data=e.errors(), message=""field required""
        ),
    )",python,1,0.02,102853
"def main() -> int:
    command = sys.argv[1] if len(sys.argv) > 1 else ""<command>""
    notice = DEPRECATION_NOTICE.format(command=command)
    replacement = FORWARDS.get(command)
    if replacement is None:
        raise SystemExit(f""error: {notice}"")
    warnings.warn(notice, DeprecationWarning)
    if len(sys.argv) > 2:
        warnings.warn(f""ignoring extra arguments: {shlex.join(sys.argv[2:])}"")
    print(f""Forwarding to `{shlex.join(replacement)}`."", file=sys.stderr)
    return subprocess.run(replacement).returncode",python,1,0.03,102353
"def get_new_setup_py_lines():
    global version
    with open('setup.py', 'r') as sf:
        current_setup = sf.readlines()
    for line in current_setup:
        if line.startswith('VERSION = '):
            major, minor = re.findall(r""VERSION = '(\d+)\.(\d+)'"", line)[0]
            version = ""{}.{}"".format(major, int(minor) + 1)
            yield ""VERSION = '{}'\n"".format(version)
        else:
            yield line",python,1,0.08,97643
"def get_args(cls, dist, header=None):
    """"""
    Yield write_script() argument tuples for a distribution's
    console_scripts and gui_scripts entry points.
    """"""
    if header is None:
        header = cls.get_header()
    spec = str(dist.as_requirement())
    for type_ in 'console', 'gui':
        group = type_ + '_scripts'
        for name, ep in dist.get_entry_map(group).items():
            # ensure_safe_name
            if re.search(r'[\\/]', name):
                raise ValueError(""Path separators not allowed in script names"")
            script_text = TEMPLATE.format(
                          ep.module_name, ep.attrs[0], '.'.join(ep.attrs),
                          spec, group, name)
            args = cls._get_script_args(type_, name, header, script_text)
            for res in args:
                yield res",python,1,0.2,97643
"def main():
    import os
    import re
    import shutil
    import sys
    dests = sys.argv[1:] or ['.']
    filename = re.sub(r'\.pyc$', '.py', __file__)

    for dst in dests:
        shutil.copy(filename, dst)
        manifest_path = os.path.join(dst, 'MANIFEST.in')
        setup_path = os.path.join(dst, 'setup.py')

        # Insert the include statement to MANIFEST.in if not present
        with open(manifest_path, 'a+') as manifest:
            manifest.seek(0)
            manifest_content = manifest.read()
            if not 'include fastentrypoints.py' in manifest_content:
                manifest.write(('\n' if manifest_content else '')
                               + 'include fastentrypoints.py')

        # Insert the import statement to setup.py if not present
        with open(setup_path, 'a+') as setup:
            setup.seek(0)
            setup_content = setup.read()
            if not 'import fastentrypoints' in setup_content:
                setup.seek(0)
                setup.truncate()
                setup.write('import fastentrypoints\n' + setup_content)",python,1,0.17,97643
"def apply_patch():
    # Create a monkey patch for the internal _tkinter module
    original_init = tkinter.Tk.__init__
    
    def patched_init(self, *args, **kwargs):
        # Call the original init
        original_init(self, *args, **kwargs)
        
        # Define the missing ::tk::ScreenChanged procedure
        self.tk.eval(""""""
        if {[info commands ::tk::ScreenChanged] == """"} {
            proc ::tk::ScreenChanged {args} {
                # Do nothing
                return
            }
        }
        """""")
    
    # Apply the monkey patch
    tkinter.Tk.__init__ = patched_init",python,0,0.29,95895
"    def patched_init(self, *args, **kwargs):
        # Call the original init
        original_init(self, *args, **kwargs)
        
        # Define the missing ::tk::ScreenChanged procedure
        self.tk.eval(""""""
        if {[info commands ::tk::ScreenChanged] == """"} {
            proc ::tk::ScreenChanged {args} {
                # Do nothing
                return
            }
        }
        """""")",python,1,0.05,95895
"def capture_thread():
    while not stop_event.is_set():
        ret, frame = cap.read()
        if not ret:
            break
        try:
            capture_queue.put_nowait(frame)
        except queue.Full:
            try:
                capture_queue.get_nowait()
            except queue.Empty:
                pass
            try:
                capture_queue.put_nowait(frame)
            except queue.Full:
                pass",python,0,0.08,95895
"def s(name, arr):
    if not arr:
        return
    avg = sum(arr) / len(arr)
    print(f""  {name:25s}: avg={avg:6.1f}ms  min={min(arr):5.1f}ms  max={max(arr):6.1f}ms  n={len(arr)}"")",python,1,0.27,95895
"def download_single_shard(index):
    """"""Download one parquet shard with retries. Returns True on success.""""""
    filename = f""shard_{index:05d}.parquet""
    filepath = os.path.join(DATA_DIR, filename)
    if os.path.exists(filepath):
        return True

    url = f""{BASE_URL}/{filename}""
    max_attempts = 5
    for attempt in range(1, max_attempts + 1):
        try:
            response = requests.get(url, stream=True, timeout=30)
            response.raise_for_status()
            temp_path = filepath + "".tmp""
            with open(temp_path, ""wb"") as f:
                for chunk in response.iter_content(chunk_size=1024 * 1024):
                    if chunk:
                        f.write(chunk)
            os.rename(temp_path, filepath)
            print(f""  Downloaded {filename}"")
            return True
        except (requests.RequestException, IOError) as e:
            print(f""  Attempt {attempt}/{max_attempts} failed for {filename}: {e}"")
            for path in [filepath + "".tmp"", filepath]:
                if os.path.exists(path):
                    try:
                        os.remove(path)
                    except OSError:
                        pass
            if attempt < max_attempts:
                time.sleep(2 ** attempt)
    return False",python,1,0.29,93757
"def download_data(num_shards, download_workers=8):
    """"""Download training shards + pinned validation shard.""""""
    os.makedirs(DATA_DIR, exist_ok=True)
    num_train = min(num_shards, MAX_SHARD)
    ids = list(range(num_train))
    if VAL_SHARD not in ids:
        ids.append(VAL_SHARD)

    # Count what's already downloaded
    existing = sum(1 for i in ids if os.path.exists(os.path.join(DATA_DIR, f""shard_{i:05d}.parquet"")))
    if existing == len(ids):
        print(f""Data: all {len(ids)} shards already downloaded at {DATA_DIR}"")
        return

    needed = len(ids) - existing
    print(f""Data: downloading {needed} shards ({existing} already exist)..."")

    workers = max(1, min(download_workers, needed))
    with Pool(processes=workers) as pool:
        results = pool.map(download_single_shard, ids)

    ok = sum(1 for r in results if r)
    print(f""Data: {ok}/{len(ids)} shards ready at {DATA_DIR}"")",python,1,0.06,93757
